delays,runtime,Model,Dataset
0,6425.489637136459,ARF,AGR_g
1000,6447.436695098877,ARF,AGR_g
10000,6962.334170341492,ARF,AGR_g
20000,6960.645390987396,ARF,AGR_g
30000,6987.567533254623,ARF,AGR_g
40000,6755.190411806107,ARF,AGR_g
50000,6399.077244281769,ARF,AGR_g
60000,6415.811490774155,ARF,AGR_g
70000,6442.576535701752,ARF,AGR_g
0,2086.1206707954407,LB,AGR_g
1000,2104.9574687480927,LB,AGR_g
10000,2103.8158886432648,LB,AGR_g
20000,2097.6348423957825,LB,AGR_g
30000,2102.5030913352966,LB,AGR_g
40000,2104.0770885944366,LB,AGR_g
50000,2109.6683990955357,LB,AGR_g
60000,2112.638270378113,LB,AGR_g
70000,2117.537108898163,LB,AGR_g
0,7104.013874530792,LB_HT,AGR_g
1000,7124.057112693787,LB_HT,AGR_g
10000,7108.409054517746,LB_HT,AGR_g
20000,7194.570046186447,LB_HT,AGR_g
30000,7652.476836204529,LB_HT,AGR_g
40000,7278.60079574585,LB_HT,AGR_g
50000,7138.101128101349,LB_HT,AGR_g
60000,7228.410970687866,LB_HT,AGR_g
70000,7152.960662126541,LB_HT,AGR_g
0,97.4609308242798,LR,AGR_g
1000,100.42823481559752,LR,AGR_g
10000,106.82618880271912,LR,AGR_g
20000,110.61765217781068,LR,AGR_g
30000,114.22429704666138,LR,AGR_g
40000,117.66188764572144,LR,AGR_g
50000,119.79356408119202,LR,AGR_g
60000,121.48489499092102,LR,AGR_g
70000,123.85542273521423,LR,AGR_g
0,173.49157762527466,HAT,AGR_g
1000,177.78614902496338,HAT,AGR_g
10000,178.37566494941711,HAT,AGR_g
20000,183.21561884880063,HAT,AGR_g
30000,185.2658109664917,HAT,AGR_g
40000,185.05092430114743,HAT,AGR_g
50000,183.6955718994141,HAT,AGR_g
60000,191.9703016281128,HAT,AGR_g
70000,189.033358335495,HAT,AGR_g
0,56.10938739776611,HT,AGR_g
1000,59.15698027610779,HT,AGR_g
10000,61.33423447608948,HT,AGR_g
